Year,Month,Day,death,death_increase,fips,hospitalized,hospitalized_cumulative,hospitalized_currently,in_icu_currently,iso_country,iso_subdivision,last_update_et,load_time,negative,negative_increase,on_ventilator_currently,pending,pos_neg,positive,positive_increase,recovered,total_test_results,total_test_results_increase
2021,January,1,0,0,60,0,0,0,0,US,US-AS,2020-12-01 00:00:00,2025-02-02 00:04:46,2140,0,0,0,2140,0,0,0,2140,0
2021,January,1,2,0,69,4,4,0,0,US,US-MP,2020-12-30 00:00:00,2025-02-02 00:04:46,17429,0,0,0,17551,122,0,29,17551,0
2021,January,1,23,0,78,0,0,0,0,US,US-VI,2021-01-01 08:59:00,2025-02-02 00:04:46,34176,37,0,54,36212,2036,5,1901,36212,42
2021,January,1,122,0,66,0,0,13,3,US,US-GU,2021-01-01 06:45:00,2025-02-02 00:04:46,88875,0,2,0,96201,7326,9,7047,96201,9
2021,January,1,136,0,50,0,0,31,7,US,US-VT,2020-12-30 23:59:00,2025-02-02 00:04:46,255684,0,0,0,263096,7412,0,4959,697705,0
2021,January,1,206,0,2,1023,1023,79,0,US,US-AK,2020-12-31 03:59:00,2025-02-02 00:04:46,0,0,6,0,45461,45461,0,0,1275750,0
2021,January,1,289,1,15,1775,1775,86,11,US,US-HI,2020-12-30 19:30:00,2025-02-02 00:04:46,0,0,9,0,22120,22120,288,0,816811,4473
2021,January,1,289,1,15,1775,1775,86,11,US,US-UM,2020-12-30 19:30:00,2025-02-02 00:04:46,0,0,9,0,22120,22120,288,0,816811,4473
2021,January,1,347,0,23,1065,1065,182,46,US,US-ME,2020-12-31 23:59:00,2025-02-02 00:04:46,0,0,18,0,24201,24201,0,11374,1095386,9404
2021,January,1,438,0,56,1102,1102,113,0,US,US-WY,2020-12-31 00:00:00,2025-02-02 00:04:46,159528,0,0,0,203937,44409,0,42570,501784,0
2021,January,1,759,0,33,902,902,317,0,US,US-NH,2020-12-31 09:00:00,2025-02-02 00:04:46,479590,0,0,0,523618,44028,0,37350,1032929,0
2021,January,1,788,2,11,0,0,226,63,US,US-DC,2020-12-31 00:00:00,2025-02-02 00:04:46,0,0,31,0,29252,29252,269,20941,904302,6863
2021,January,1,930,4,10,0,0,412,58,US,US-DE,2020-12-31 18:00:00,2025-02-02 00:04:46,453860,1231,0,0,511924,58064,608,0,984606,6402
2021,January,1,961,0,30,3568,3568,203,39,US,US-MT,2021-01-01 00:00:00,2025-02-02 00:04:46,0,0,23,0,81555,81555,0,74991,791589,0
2021,January,1,1269,0,49,10956,10956,565,158,US,US-UT,2020-12-31 09:56:00,2025-02-02 00:04:46,1302491,0,0,0,1579103,276612,0,224439,2245303,0
2021,January,1,1289,0,38,3552,3552,94,16,US,US-ND,2021-01-01 01:59:00,2025-02-02 00:04:46,285028,1775,0,0,377523,92495,0,89314,1249797,5489
2021,January,1,1361,23,54,0,0,809,211,US,US-WV,2020-12-31 23:59:00,2025-02-02 00:04:46,0,0,102,0,87820,87820,2486,60316,1516422,21741
2021,January,1,1436,33,16,5630,5630,375,85,US,US-ID,2020-12-31 19:00:00,2025-02-02 00:04:46,428768,1350,0,0,569845,141077,1213,58649,545485,2217
2021,January,1,1477,9,41,6498,6498,524,119,US,US-OR,2020-12-31 03:01:00,2025-02-02 00:04:46,0,0,60,0,113909,113909,1649,0,2652670,20195
2021,January,1,1488,0,46,5672,5672,297,62,US,US-SD,2020-12-30 14:00:00,2025-02-02 00:04:46,273476,0,46,0,372640,99164,0,91980,597286,2410
